1,2,3,4,5,6,7,8
0.000000000000000000e+00,5.999999999999999778e-01,3.800000000000000000e+01,5.500000000000000711e+01,8.179999999999999716e+01,9.090000000000000568e+01,9.550000000000000000e+01,1.000000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000666e-01,8.300000000000000711e+00,2.660000000000000142e+01,5.979999999999999716e+01,1.000000000000000000e+02
4.489999999999999858e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.510000000000000142e+01,9.920000000000000284e+01,9.979999999999999716e+01,9.979999999999999716e+01,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000000e+00,2.119999999999999929e+01,5.839999999999999858e+01,8.239999999999999147e+01,1.000000000000000000e+02
0.000000000000000000e+00,1.000000000000000056e-01,3.870000000000000284e+01,7.370000000000000284e+01,9.020000000000000284e+01,9.689999999999999147e+01,9.909999999999999432e+01,1.000000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.299999999999999822e+00,8.900000000000000355e+00,3.019999999999999929e+01,6.370000000000000284e+01,1.000000000000000000e+02
0.000000000000000000e+00,1.000000000000000056e-01,2.300000000000000000e+01,6.650000000000000000e+01,8.960000000000000853e+01,9.700000000000000000e+01,9.950000000000000000e+01,1.000000000000000000e+02
